Date,Open,High,Low,Close,Volume,Cluster
2019-09-12,189.860001,190.929993,187.229996,187.470001,11419800.0,0
2019-09-11,186.460007,189.440002,186.080002,188.490005,11761700.0,0
2019-09-10,187.440002,188.100006,184.550003,186.169998,15455900.0,0
2019-09-09,187.729996,188.979996,185.850006,188.759995,14722400.0,0
2019-09-06,190.210007,190.210007,186.350006,187.490005,15226800.0,0
2019-09-05,188.529999,191.360001,187.940002,190.899994,13876700.0,0
2019-09-04,184.649994,187.75,183.889999,187.139999,11308000.0,0
2019-09-03,184.0,185.669998,182.110001,182.389999,9779400.0,0
2019-08-30,186.779999,186.800003,183.460007,185.669998,10774500.0,0
2019-08-29,183.770004,186.080002,183.470001,185.570007,10128700.0,0
2019-08-28,180.529999,181.949997,178.919998,181.759995,9386100.0,0
2019-08-27,181.929993,184.039993,181.009995,181.300003,14399600.0,0
2019-08-26,179.399994,180.5,178.240005,180.360001,8773600.0,0
2019-08-23,180.839996,183.130005,176.660004,177.75,17323400.0,0
2019-08-22,183.429993,184.110001,179.910004,182.039993,10821400.0,0
2019-08-21,185.0,185.899994,183.139999,183.550003,8398200.0,0
2019-08-20,185.449997,186.0,182.389999,183.809998,10083400.0,0
2019-08-19,186.009995,187.5,184.850006,186.169998,9691200.0,0
2019-08-16,183.75,185.100006,182.360001,183.699997,12654600.0,0
2019-08-15,180.949997,183.199997,180.029999,182.589996,12925900.0,0
2019-08-14,185.800003,185.990005,179.309998,179.710007,18903700.0,0
2019-08-13,185.520004,191.380005,185.369995,188.449997,13577000.0,0
2019-08-12,186.850006,187.589996,184.460007,185.369995,10930900.0,0
2019-08-09,190.0,190.979996,187.119995,187.850006,11058800.0,0
2019-08-08,186.619995,190.339996,184.050003,190.160004,14828900.0,0
2019-08-07,183.600006,186.369995,181.220001,185.149994,15833200.0,0
2019-08-06,183.690002,185.789993,183.089996,184.509995,18035700.0,0
2019-08-05,184.690002,185.669998,179.339996,181.729996,23086700.0,0
2019-08-02,191.100006,192.619995,188.070007,189.020004,15297000.0,0
2019-08-01,194.169998,198.470001,190.880005,192.729996,17777000.0,0
2019-07-31,196.949997,198.759995,192.679993,194.229996,14593500.0,0
2019-07-30,195.389999,198.710007,193.5,197.039993,11903600.0,0
2019-07-29,199.0,199.630005,195.300003,195.940002,16530800.0,0
2019-07-26,200.190002,202.880005,196.25,199.75,24434000.0,0
2019-07-25,206.699997,208.660004,198.259995,200.710007,39889900.0,0
2019-07-24,197.630005,204.809998,197.220001,204.660004,32532500.0,0
2019-07-23,202.839996,204.240005,200.960007,202.360001,14583700.0,0
2019-07-22,199.910004,202.570007,198.809998,202.320007,13589000.0,0
2019-07-19,202.179993,202.330002,198.070007,198.360001,12098300.0,0
2019-07-18,200.149994,202.470001,199.380005,200.779999,11937900.0,0
2019-07-17,204.179993,204.360001,201.589996,201.800003,12083700.0,0
2019-07-16,203.889999,205.470001,203.100006,203.839996,12132700.0,0
2019-07-15,204.25,205.330002,201.820007,203.910004,16030300.0,0
2019-07-12,199.679993,205.300003,199.160004,204.869995,15366300.0,0
2019-07-11,203.259995,203.800003,200.210007,201.229996,13678500.0,0
2019-07-10,200.0,202.960007,199.669998,202.729996,20571700.0,0
2019-07-09,194.970001,199.460007,194.889999,199.210007,14698600.0,0
2019-07-08,195.190002,196.679993,193.639999,195.759995,9723900.0,0
2019-07-05,196.179993,197.070007,194.169998,196.399994,11164100.0,0
2019-07-03,194.160004,197.399994,194.160004,197.199997,10246100.0,0
2019-07-02,193.0,195.0,192.710007,195.0,9050000.0,0
2019-07-01,195.210007,195.279999,191.929993,193.0,14181800.0,0
2019-06-28,190.550003,193.199997,189.940002,193.0,16378900.0,0
2019-06-27,189.880005,198.880005,188.270004,189.5,11159000.0,0
2019-06-26,189.539993,190.759995,187.309998,187.660004,12808600.0,0
2019-06-25,192.880005,193.139999,188.130005,188.839996,16750300.0,0
2019-06-24,192.419998,193.979996,191.570007,192.600006,15509000.0,0
2019-06-21,188.75,192.0,188.75,191.139999,22751200.0,0
2019-06-20,190.949997,191.160004,187.639999,189.529999,14635700.0,0
2019-06-19,187.0,188.100006,184.550003,187.479996,21417100.0,0
2019-06-18,194.0,194.529999,187.279999,188.470001,37571400.0,0
2019-06-17,185.009995,189.5,184.410004,189.009995,29459900.0,0
2019-06-14,180.509995,181.839996,180.0,181.330002,16773700.0,0
2019-06-13,175.529999,178.029999,174.610001,177.470001,12253600.0,0
2019-06-12,178.380005,179.270004,172.880005,175.039993,17699800.0,0
2019-06-11,178.479996,179.979996,176.789993,178.100006,15266600.0,0
2019-06-10,174.75,177.860001,173.800003,174.820007,14767900.0,0
2019-06-07,170.169998,173.869995,168.839996,173.350006,16917300.0,0
2019-06-06,168.300003,169.699997,167.229996,168.330002,12446400.0,0
2019-06-05,167.479996,168.720001,164.630005,168.169998,19758300.0,0
2019-06-04,163.710007,168.279999,160.839996,167.5,46044300.0,0
2019-06-03,175.0,175.050003,161.009995,164.149994,56059600.0,0
2019-05-31,180.279999,180.539993,177.160004,177.470001,15226500.0,0
2019-05-30,183.080002,183.479996,180.889999,183.009995,8581500.0,0
2019-05-29,183.5,184.559998,181.350006,182.190002,12797700.0,0
2019-05-28,181.539993,184.710007,181.449997,184.309998,14843300.0,0
2019-05-24,182.330002,183.630005,180.830002,181.059998,8807700.0,0
2019-05-23,182.419998,183.899994,179.669998,180.869995,12768800.0,0
2019-05-22,184.729996,186.740005,183.610001,185.320007,9213800.0,0
